Date,OpenReliance,HighReliance,LowReliance,CloseReliance,VolumeReliance
13-03-2018 03:45,930.9,931.85,926,929.2,825432
13-03-2018 04:45,929.2,936,928.1,930.05,831865
13-03-2018 05:45,929.7,930.8,927.55,929.5,543093
13-03-2018 06:45,929.15,930.95,928.45,929.9,516139
13-03-2018 07:45,929.1,931.6,921.6,924.4,869760
13-03-2018 08:45,924.35,932.8,923,929.95,1101810
13-03-2018 09:45,930.7,934.8,930.2,933.7,396422
14-03-2018 03:45,928.25,929,922.6,926.1,726589
14-03-2018 04:45,926.15,927.55,922.3,922.95,328409
14-03-2018 05:45,922.9,923.5,919.75,921.25,867273
14-03-2018 06:45,921.25,922.4,919.85,921.7,2217515
14-03-2018 07:45,921.55,922.8,920.8,921.35,1149282
14-03-2018 08:45,921.15,929.8,920.2,928.8,986324
14-03-2018 09:45,928.85,931.95,928.45,930.5,445689
15-03-2018 03:45,926.15,928.75,922.05,925.45,1154182
15-03-2018 04:45,925.5,925.5,921.3,921.3,579700
15-03-2018 05:45,921.35,922.65,920.05,920.9,519887
15-03-2018 06:45,920.95,921.65,917.6,919.35,667796
15-03-2018 07:45,919.4,920,912.4,913,997513
15-03-2018 08:45,913,916.15,912.35,912.95,1108814
15-03-2018 09:45,913,913,910,911.8,776469
16-03-2018 03:45,909.35,909.35,901.1,901.1,1255478
16-03-2018 04:45,901.05,902.7,899.3,901.6,1361370
16-03-2018 05:45,901.6,901.6,897.65,898.85,765710
16-03-2018 06:45,898.7,899.4,896.5,896.9,790667
16-03-2018 07:45,896.75,897,891,891.25,1267837
16-03-2018 08:45,891.05,901.3,886.45,901.3,5191084
16-03-2018 09:45,901.45,904.7,900.9,903.9,3438197
19-03-2018 03:45,901.5,906.7,895.4,897.75,1199170
19-03-2018 04:45,897.75,901.95,897.2,899.5,447495
19-03-2018 05:45,899.5,901.5,896.1,899.25,620768
19-03-2018 06:45,899.05,900.25,896,896.5,610814
19-03-2018 07:45,896.5,899.9,892.2,896.5,843324
19-03-2018 08:45,896.25,900.95,892.6,894.7,1417479
19-03-2018 09:45,894.85,896.7,894.25,895,623766
20-03-2018 03:45,893.2,903.9,891.85,901.75,1226378
20-03-2018 04:45,901.85,902.3,899,899.4,772648
20-03-2018 05:45,899.4,901.35,899.35,899.4,603719
20-03-2018 06:45,899.25,899.9,894.85,894.9,973696
20-03-2018 07:45,894.85,894.85,887.3,888.95,1433680
20-03-2018 08:45,888.95,891.7,887.05,888.55,1425608
20-03-2018 09:45,888.3,892.75,887.5,892.75,497970
21-03-2018 03:45,895,899.95,893.95,897.4,1428260
21-03-2018 04:45,897.3,902.3,896.55,900.8,1026770
21-03-2018 05:45,901.05,901.2,896,899.2,841812
21-03-2018 06:45,898.95,899.2,894.55,897.15,607949
21-03-2018 07:45,897.2,898.65,894.05,894.6,944799
21-03-2018 08:45,894.75,899.2,894.15,899.15,1311874
21-03-2018 09:45,899.1,899.15,894.35,895.1,554311
22-03-2018 03:45,896.5,909.2,895.9,908.3,1807964
22-03-2018 04:45,908.2,910.75,906.9,908.45,1909454
22-03-2018 05:45,908.45,908.65,905,906,1339616
22-03-2018 06:45,906,909.9,906,907.15,926083
22-03-2018 07:45,907.1,909.5,906,908.8,1450434
22-03-2018 08:45,909.7,911.9,907.5,908.5,1774113
22-03-2018 09:45,908.5,908.8,907.35,908.15,904973
23-03-2018 03:45,892,899.7,892,897.1,1595055
23-03-2018 04:45,897.5,899.95,895.2,897,1014632
23-03-2018 05:45,896.9,897,889.35,892.5,3039082
23-03-2018 06:45,892.5,895.85,891.55,894.65,1190700
23-03-2018 07:45,895.5,896.3,894.05,894.5,1148027
23-03-2018 08:45,894.85,898,892.5,894.1,1872673
23-03-2018 09:45,894,894.85,890.1,893.25,848101
26-03-2018 03:45,893.05,904,893.05,900.3,868310
26-03-2018 04:45,900.1,901.25,894.65,898.1,765625
26-03-2018 05:45,898.2,898.7,895.15,895.55,687200
26-03-2018 06:45,896,897,895.15,896.45,507933
26-03-2018 07:45,896.5,899.95,895.3,898.35,1132439
26-03-2018 08:45,898.55,901.95,897.9,901.6,1375854
26-03-2018 09:45,901.55,902.7,900.5,902,691137
27-03-2018 03:45,907.25,910.7,904.5,906.55,1151060
27-03-2018 04:45,906.55,908.5,904.8,904.85,597320
27-03-2018 05:45,904.95,905.7,903,903.8,706562
27-03-2018 06:45,904,904.9,903,903.35,1186847
27-03-2018 07:45,903.05,905.35,902.8,903.3,1012144
27-03-2018 08:45,903.65,904.15,897.35,900.05,1618877
27-03-2018 09:45,900,900.2,898.8,899,648585
28-03-2018 03:45,895.6,895.85,890.15,890.5,1104679
28-03-2018 04:45,890.5,892.8,890,890.95,553532
28-03-2018 05:45,891,892.5,890.85,892.5,494488
28-03-2018 06:45,892.5,892.6,885.55,885.55,921520
28-03-2018 07:45,885.4,888.4,884.5,886.2,1108289
28-03-2018 08:45,886.4,888.45,881.5,881.75,2818670
28-03-2018 09:45,881.95,882.5,880.3,881.7,1732226
02-04-2018 03:45,891.55,895.45,887.5,894.2,1265654
02-04-2018 04:45,894.25,895.9,893.15,895.6,442702
02-04-2018 05:45,895.5,900.95,895.5,898.75,828623
02-04-2018 06:45,899,899.5,897.5,897.7,544082
02-04-2018 07:45,897.5,897.8,893.4,893.4,731701
02-04-2018 08:45,893.35,894.6,891.5,893,1277839
02-04-2018 09:45,892.85,893.2,892.5,892.95,593311
03-04-2018 03:45,890.95,894.3,888,888.5,912600
03-04-2018 04:45,888.25,888.8,886,887.25,1828454
03-04-2018 05:45,887.35,891.6,885.3,890,527955
03-04-2018 06:45,890.2,895.55,890.2,894.8,812588
03-04-2018 07:45,895,895.25,892.65,894.9,767738
03-04-2018 08:45,894.9,899.6,893.2,899.35,919654
03-04-2018 09:45,899.05,901.65,898.95,900.35,586047
04-04-2018 03:45,903.8,911.55,903.15,906.25,2109428
04-04-2018 04:45,906.25,907,904.55,906.1,488407
04-04-2018 05:45,905.5,906.15,902.3,902.65,579683
04-04-2018 06:45,902.75,904.1,900,900,898496
04-04-2018 07:45,900.1,900.1,892.25,895.9,1027034
04-04-2018 08:45,895.8,897.3,893.7,895.3,882377
04-04-2018 09:45,895.3,896.3,893.45,893.55,498056
05-04-2018 03:45,905.1,908.6,904.05,908.3,848630
05-04-2018 04:45,908.55,910,908,908.25,721444
05-04-2018 05:45,908.15,909,907.7,907.95,447386
05-04-2018 06:45,907.85,908.15,905.6,906,393568
05-04-2018 07:45,906.25,907.9,905.2,907.15,539301
05-04-2018 08:45,907.75,909,906,908,610564
05-04-2018 09:45,907.95,909.45,907.5,908,319902
06-04-2018 03:45,907,918.45,905.2,917.3,1058778
06-04-2018 04:45,917.25,918,912,913.75,652114
06-04-2018 05:45,913.7,915.55,913.35,914.95,462727
06-04-2018 06:45,915,916.15,911.1,913.25,466676
06-04-2018 07:45,913.2,913.2,909.7,910.1,655555
06-04-2018 08:45,910.2,913.45,910,910.5,669525
06-04-2018 09:45,910.7,911.7,909.5,911,445556
09-04-2018 03:45,912.55,917.25,912.55,915.15,493378
09-04-2018 04:45,915.15,918.25,914.4,917.2,397872
09-04-2018 05:45,917.3,917.35,914.7,915.5,393589
09-04-2018 06:45,915.5,916.55,912.9,915.9,460423
09-04-2018 07:45,915.85,916.35,915,915.9,320696
09-04-2018 08:45,915.9,919,915.7,916.2,1054642
09-04-2018 09:45,916.45,916.6,914.05,914.75,439396
10-04-2018 03:45,918.7,921.55,917.8,920.25,530026
10-04-2018 04:45,920.1,923.8,919.15,921.2,678692
10-04-2018 05:45,921,922.5,919.7,920.25,420495
10-04-2018 06:45,920.35,920.35,918.05,918.7,563465
10-04-2018 07:45,918.75,920.35,917.55,918.95,255161
10-04-2018 08:45,918.85,919.15,915.45,917.95,754633
10-04-2018 09:45,918,919.05,914.45,915.5,650496
11-04-2018 03:45,918.65,926.45,916.5,922.45,1175054
11-04-2018 04:45,922.5,927.9,921.8,926.7,849693
11-04-2018 05:45,926.5,931.7,926.45,927.8,913865
11-04-2018 06:45,927.7,930.95,927.3,930.05,800692
11-04-2018 07:45,930.15,931.15,929.4,930.15,607126
11-04-2018 08:45,930.1,930.9,928.75,930.65,900150
11-04-2018 09:45,930.8,932.45,930.2,931.5,743896
12-04-2018 03:45,929.4,936.3,928.5,932.1,1085801
12-04-2018 04:45,932.05,933.45,930.1,930.65,434669
12-04-2018 05:45,930.65,931,926.4,927.8,554489
12-04-2018 06:45,927.8,927.8,924.35,926.85,380687
12-04-2018 07:45,928.2,930.7,926.4,927,503969
12-04-2018 08:45,927.05,930.7,924.7,930.45,1411426
12-04-2018 09:45,930.45,930.45,926.9,928.7,565261
13-04-2018 03:45,931.8,936.6,930.35,934.95,944035
13-04-2018 04:45,935,937.8,934.75,936,551651
13-04-2018 05:45,936,937,935.55,936,479059
13-04-2018 06:45,936,937.15,933.25,934.7,619109
13-04-2018 07:45,934.85,938.95,933.4,937.45,949312
13-04-2018 08:45,937.4,941.5,935.35,938.25,1659903
13-04-2018 09:45,938.25,940,937.75,940,554487
16-04-2018 03:45,932.9,938.2,932.55,932.9,675172
16-04-2018 04:45,932.8,933.05,928.55,930.6,518486
16-04-2018 05:45,930.4,930.6,929.35,930.3,787908
16-04-2018 06:45,930.4,930.7,929.1,930.1,619732
16-04-2018 07:45,930,934.6,929.45,932.8,543872
16-04-2018 08:45,933,937.35,932.25,935.95,665928
16-04-2018 09:45,935.7,939.35,935.7,938,254992
17-04-2018 03:45,939.75,944.95,936,944.95,881906
17-04-2018 04:45,944.85,947.2,943.8,944.05,830472
17-04-2018 05:45,944.25,944.4,941,941.35,372206
17-04-2018 06:45,941.4,941.5,938.6,939.1,389563
17-04-2018 07:45,939.45,940.5,938.05,939,533915
17-04-2018 08:45,938.9,945.75,938.9,945.15,922384
17-04-2018 09:45,944.75,945.7,943.95,944.1,446745
18-04-2018 03:30,944.25,944.25,944.25,944.25,0
18-04-2018 04:30,946.05,947.95,941.7,943.45,605335
18-04-2018 05:30,943.4,945.8,942.8,943.95,306916
18-04-2018 06:30,943.9,944,941.25,942.65,295695
18-04-2018 07:30,942.7,942.75,939,940.9,437828
18-04-2018 08:30,941.3,943.5,940,940.8,468306
18-04-2018 09:30,940.75,941.25,935.05,938,1235085
19-04-2018 03:45,940.2,943,935,942,708676
19-04-2018 04:45,942.3,944.4,941.5,942.6,389588
19-04-2018 05:45,942.7,943,938.5,941.75,778283
19-04-2018 06:45,941.75,943.05,940.65,941.95,482884
19-04-2018 07:45,941.35,944.95,938.6,940,943843
19-04-2018 08:45,940.05,943.6,939.9,941.85,921913
19-04-2018 09:45,941.7,943,941.2,942.75,241925
20-04-2018 03:45,940,941.3,931.4,932.65,664433
20-04-2018 04:45,932.7,934.05,927.6,927.7,402458
20-04-2018 05:45,927.7,929.5,924.45,924.8,394139
20-04-2018 06:45,924.55,925.2,921.65,921.75,498066
20-04-2018 07:45,922,925.75,921.55,925.4,473176
20-04-2018 08:45,925.45,927.7,922.35,927.5,585050
20-04-2018 09:45,927.5,932,927.4,930,325497
23-04-2018 03:45,930.55,935.4,928.8,934.35,784332
23-04-2018 04:45,934.2,941.8,933.4,941.2,575627
23-04-2018 05:45,941.6,943.95,935.4,935.7,581361
23-04-2018 06:45,935.7,939.3,935.7,936.45,331903
23-04-2018 07:45,936.5,939.9,936.25,939.05,512166
23-04-2018 08:45,939,939,934.4,935.75,406736
23-04-2018 09:45,936.15,936.7,934.95,935,307010
24-04-2018 03:45,935.8,945.9,935.8,945,1004164
24-04-2018 04:45,945,957.45,944.95,955.15,1898819
24-04-2018 05:45,955.55,958.45,953.4,957.45,709662
24-04-2018 06:45,957.4,958.45,952.75,955.55,581404
24-04-2018 07:45,955.75,963.5,955.1,963.15,1382178
24-04-2018 08:45,963.1,975.5,962,970.6,2946123
24-04-2018 09:45,970.05,971.6,969.05,971.6,573794
25-04-2018 03:45,972.95,981,964.6,970.55,2226311
25-04-2018 04:45,970.75,972.55,964.4,969.45,761773
25-04-2018 05:45,969.5,970.5,965.35,968.3,570957
25-04-2018 06:45,967.9,971.85,967.6,970.75,612210
25-04-2018 07:45,971,974.9,967,969,948922
25-04-2018 08:45,968.55,971.95,965.8,970.65,824774
25-04-2018 09:45,971,972,968.55,972,463732
26-04-2018 03:45,972.7,987.7,972.7,983.75,2602145
26-04-2018 04:45,983.7,988,981.1,986.1,1328644
26-04-2018 05:45,986.1,986.7,982.05,983.65,716323
26-04-2018 06:45,983.65,983.8,975.6,976.7,1984427
26-04-2018 07:45,976.55,976.7,968.2,971.05,1676399
26-04-2018 08:45,971.65,980,962.6,979.7,4308239
26-04-2018 09:45,979.65,980,971,971.55,2955896
27-04-2018 03:45,988.65,1011,988.65,1001.9,5047844
27-04-2018 04:45,1001.5,1002.95,997.8,998.15,1240388
27-04-2018 05:45,998.15,998.7,990.7,996.95,1630662
27-04-2018 06:45,996.9,999.95,995.8,999.15,730668
27-04-2018 07:45,999.2,1004.4,998.9,1000.6,1133130
27-04-2018 08:45,1000.8,1001.4,993.9,994.9,1124531
27-04-2018 09:45,994.9,998.8,991.1,996,670109
30-04-2018 03:45,983.8,992.4,961.55,969.8,4086120
30-04-2018 04:45,969.7,971.5,965.25,966.9,681739
30-04-2018 05:45,966.7,969.3,966.5,966.8,499832
30-04-2018 06:45,966.85,970.5,966.2,968.5,620833
30-04-2018 07:45,968.6,968.9,963.3,965.2,648543
30-04-2018 08:45,965.1,966.8,960.55,963,1331075
30-04-2018 09:45,963.2,965.05,960.3,963.3,906096
02-05-2018 03:45,965.55,976.35,965.55,973.3,1296489
02-05-2018 04:45,973.45,979,972.4,975.45,751375
02-05-2018 05:45,975.45,977.9,972.3,973.6,530263
02-05-2018 06:45,973.7,976.55,972.35,975.6,589177
02-05-2018 07:45,975.7,976.8,970.7,972.6,635963
02-05-2018 08:45,973.75,975.9,966.9,974.4,1674818
02-05-2018 09:45,974.35,974.65,971.95,974.2,616030
03-05-2018 03:45,976.95,976.95,963,966,948959
03-05-2018 04:45,966.3,967.25,960.25,960.25,518727
03-05-2018 05:45,960.2,964,960,961.9,447887
03-05-2018 06:45,961.35,966.7,961.2,963.1,468386
03-05-2018 07:45,963,965,960.2,964.25,510392
03-05-2018 08:45,964.35,964.4,960.75,961.6,612086
03-05-2018 09:45,961.55,962,960.1,962,418788
04-05-2018 03:45,962.35,964.7,952.6,953.1,960402
04-05-2018 04:45,953.15,955.95,953,954.5,361807
04-05-2018 05:45,954.75,956.25,952,953.6,488809
04-05-2018 06:45,953.65,954.55,950,950.95,652377
04-05-2018 07:45,950.7,957.7,950.5,956.45,425018
04-05-2018 08:45,956.3,956.35,952.3,953.8,502800
04-05-2018 09:45,953.7,955.25,952.95,953.95,396975
07-05-2018 03:45,958.85,963,956.55,957.7,562910
07-05-2018 04:45,957.55,963.8,957.25,962.05,380455
07-05-2018 05:45,962.25,963.45,958.8,961.95,405187
07-05-2018 06:45,961.9,962.55,958,961,424176
07-05-2018 07:45,961.15,962.4,959.05,962.1,310746
07-05-2018 08:45,962.35,973,962,971.1,1143597
07-05-2018 09:45,971,972.3,970.15,971.9,273395
08-05-2018 03:45,975.9,982,973,974.8,1001285
08-05-2018 04:45,974.8,979.85,974.8,977.45,411006
08-05-2018 05:45,977.5,980,975.25,975.6,361127
08-05-2018 06:45,975.65,976.35,966.95,968.7,978457
08-05-2018 07:45,968.35,971.8,968.05,971.1,517758
08-05-2018 08:45,971.4,971.4,966.6,967.5,1028503
08-05-2018 09:45,967.35,967.6,965.5,967.1,629201
09-05-2018 03:45,965.65,968.45,963.25,965.5,741805
09-05-2018 04:45,965.4,966,962.25,964.9,367873
09-05-2018 05:45,964.95,973.75,964.7,973,678727
09-05-2018 06:45,973.15,979.5,972.45,979.35,757034
09-05-2018 07:45,979.2,984.05,978.5,980.2,957834
09-05-2018 08:45,980,980,975.1,977.9,626830
09-05-2018 09:45,977.9,978,975.15,976.75,356313
10-05-2018 03:45,978,984.25,975.3,979.8,1304124
10-05-2018 04:45,979.95,982.5,977.95,980.35,498353
10-05-2018 05:45,980.2,981.5,979.6,979.9,239543
10-05-2018 06:45,979.75,980.85,977.1,978.95,344554
10-05-2018 07:45,978.6,983.8,978,982.15,471804
10-05-2018 08:45,982.05,982.85,980.05,981.85,705235
10-05-2018 09:45,981.75,981.95,980.3,980.3,439749
11-05-2018 03:45,984,985.6,978,980.75,719421
11-05-2018 04:45,980.6,989.9,979.55,987.75,878611
11-05-2018 05:45,987.8,991,986.2,987.6,725538
11-05-2018 06:45,987.75,989.5,986.55,987.1,258728
11-05-2018 07:45,987,989.45,986.35,988.95,389702
11-05-2018 08:45,989.2,990.9,987.8,989.4,723404
11-05-2018 09:45,989.15,989.25,986.4,986.4,299222
14-05-2018 03:45,991.95,991.95,984.25,986.55,375778
14-05-2018 04:45,986.3,987.2,982.7,985.35,242162
14-05-2018 05:45,984.85,986.3,980.15,980.45,261330
14-05-2018 06:45,980.5,984,980.3,983.15,196456
14-05-2018 07:45,983.2,983.2,979,979.1,310588
14-05-2018 08:45,979.15,988.25,976.7,987,835323
14-05-2018 09:45,987.25,988.25,984.95,986.6,350260
15-05-2018 03:45,983.6,1000,980.65,999.8,1575839
15-05-2018 04:45,999.9,999.95,994,995.9,555181
15-05-2018 05:45,995.35,995.4,986.1,987.75,521979
15-05-2018 06:45,987.75,988.5,983.35,983.9,504188
15-05-2018 07:45,983.55,986.25,978.2,979.95,464977
15-05-2018 08:45,978.55,982.6,977.65,979.5,734804
15-05-2018 09:45,979.45,979.5,976.7,978.95,440404
16-05-2018 03:45,972.4,972.4,961.6,964.3,1473827
16-05-2018 04:45,964.25,967.45,961.9,962.9,1098206
16-05-2018 05:45,963.1,965.3,962.25,963,2165147
16-05-2018 06:45,962.9,968.2,962.8,965,879601
16-05-2018 07:45,964.9,967.5,960.55,962.4,597179
16-05-2018 08:45,962.4,963.3,955.65,957,1389015
16-05-2018 09:45,957,957.05,954.25,954.5,1002133
17-05-2018 03:45,958.05,959.1,948.95,952.65,918794
17-05-2018 04:45,952.7,953.5,949.6,951.45,895270
17-05-2018 05:45,951.25,952.35,946.45,948,498254
17-05-2018 06:45,947.85,949.95,947.4,949.15,393092
17-05-2018 07:45,949.4,949.55,947.95,949,657190
17-05-2018 08:45,949.25,951.75,945,945.35,886530
17-05-2018 09:45,945.2,945.4,942,943.85,465213
18-05-2018 03:45,945,953.4,938.95,949,1154398
18-05-2018 04:45,948.5,951.4,945.5,946,537382
18-05-2018 05:45,945.9,946.5,941.05,942.1,622816
18-05-2018 06:45,942.05,943.35,936.7,939.15,852702
18-05-2018 07:45,938.85,939.7,933.8,936.35,578601
18-05-2018 08:45,936.5,938.9,932.3,934.05,958678
18-05-2018 09:45,933.8,934.95,932.15,933.85,522257
21-05-2018 03:45,931.2,931.2,922.4,926.35,2384885
21-05-2018 04:45,926.5,928,924.1,927.7,1323551
21-05-2018 05:45,927.6,928,925,925.35,612152
21-05-2018 06:45,925.95,926.7,923.1,925.7,484164
21-05-2018 07:45,925.75,926.75,923.35,925.4,306534
21-05-2018 08:45,925.15,931.6,923.3,931,1104905
21-05-2018 09:45,931,935.35,930.3,931.35,394417
22-05-2018 03:45,933,933.8,929.7,932.35,2435204
22-05-2018 04:45,932.45,933.85,925.2,927.1,1022549
22-05-2018 05:45,927.15,930.65,927.15,929.5,304876
22-05-2018 06:45,929.5,931.75,928.25,929.25,246277
22-05-2018 07:45,929.25,930.45,928.2,928.7,229236
22-05-2018 08:45,928.5,929.3,926.05,927.4,539163
22-05-2018 09:45,927.35,927.35,925.25,926.75,389803
23-05-2018 03:45,925.2,926,917.5,919,933074
23-05-2018 04:45,918.5,921.9,918.05,920.35,457519
23-05-2018 05:45,920.45,921.25,919,920.35,394875
23-05-2018 06:45,920.5,921,917.05,918.25,705549
23-05-2018 07:45,918.4,919.4,912.3,914.15,641358
23-05-2018 08:45,913.8,914.35,909.45,912.1,980859
23-05-2018 09:45,912.05,914.65,911.55,912.25,429130
24-05-2018 03:45,914.5,920.75,910.2,919.55,950874
24-05-2018 04:45,920.1,921,918.15,920.05,490686
24-05-2018 05:45,920,920.15,914.3,914.8,632376
24-05-2018 06:45,915,918.05,914.95,916.9,556735
24-05-2018 07:45,916.8,917.55,913.8,914.85,1151231
24-05-2018 08:45,914.95,916.5,914,915.1,1072093
24-05-2018 09:45,915.1,919.9,915.1,915.85,458401
25-05-2018 03:45,914.85,921.5,914.85,919.4,794540
25-05-2018 04:45,919.6,921.25,916.6,919.8,506885
25-05-2018 05:45,920.15,921,917.55,920,595336
25-05-2018 06:45,920.2,921.5,918.3,920.45,1137554
25-05-2018 07:45,920.6,921.5,920,920.85,445455
25-05-2018 08:45,920.9,921.4,919.75,920.9,4046660
25-05-2018 09:45,920.9,923.35,920.75,920.8,595858
28-05-2018 03:45,925,927,918.35,922.35,791311
28-05-2018 04:45,922.4,923.7,919.5,920.1,1067459
28-05-2018 05:45,920.1,923.4,919.35,922.35,526715
28-05-2018 06:45,922.6,922.9,920.4,922.65,522313
28-05-2018 07:45,922.65,922.9,921.45,922.35,690022
28-05-2018 08:45,922.45,924.15,919,920.35,1193035
28-05-2018 09:45,920,921,919,920.4,401583
29-05-2018 03:45,921,923.9,914.4,923.25,1337135
29-05-2018 04:45,923.4,923.55,919.75,921.3,541952
29-05-2018 05:45,921.35,927.95,919.2,920,3982494
29-05-2018 06:45,920.3,921.2,916.4,917.8,529888
29-05-2018 07:45,917.9,919.35,915.5,916.2,567302
29-05-2018 08:45,916.65,918.55,916,917.8,802790
29-05-2018 09:45,917.95,917.95,916.85,917,406593
30-05-2018 03:45,913.1,916.3,906.85,913.8,1575542
30-05-2018 04:45,913.8,915.25,912.65,913.65,612066
30-05-2018 05:45,913.65,915,912.5,914.25,438996
30-05-2018 06:45,914.25,923,913.8,921.85,774684
30-05-2018 07:45,921.85,921.85,916.25,916.75,1114320
30-05-2018 08:45,916.75,920.45,915.7,915.7,1004943
30-05-2018 09:45,915.7,916.4,914.6,915.25,459088
31-05-2018 03:45,920.05,921.7,915.95,920.8,1132690
31-05-2018 04:45,920.8,921.4,919,920.8,1682694
31-05-2018 05:45,920.8,921.5,919.1,920.85,1338586
31-05-2018 06:45,920.8,922.15,919.95,921.6,774784
31-05-2018 07:45,921.4,921.5,918.35,920.15,679453
31-05-2018 08:45,920.05,922,919.65,921.45,6205566
31-05-2018 09:45,921.7,922,919.3,921.35,5121317
01-06-2018 03:45,919.75,926,919.3,925,1090203
01-06-2018 04:45,925,925.5,923,924.85,2262095
01-06-2018 05:45,925.2,932.25,924.65,927,2952799
01-06-2018 06:45,927.15,927.85,924.85,926,393203
01-06-2018 07:45,925.55,931.65,925.45,929,544780
01-06-2018 08:45,929.05,935.5,929.05,931.25,1187827
01-06-2018 09:45,931.25,931.3,928,930.55,298556
04-06-2018 03:45,934.45,940,931.95,939.75,1304952
04-06-2018 04:45,939.8,942,938.3,939.95,638681
04-06-2018 05:45,940,940.95,936.25,940.25,533806
04-06-2018 06:45,940.1,943.65,939.6,940.75,764652
04-06-2018 07:45,940.35,943.95,940,940.5,650836
04-06-2018 08:45,940.6,941.3,938.7,941.3,1054417
04-06-2018 09:45,941.05,942.25,939.6,941.5,637770
05-06-2018 03:45,942.8,950.4,941.2,950.2,1972530
05-06-2018 04:45,950.2,951.8,948.25,950.1,1406672
05-06-2018 05:45,950.05,954,949.95,953.15,996505
05-06-2018 06:45,953.2,954.95,951,953.8,1016763
05-06-2018 07:45,953.9,954.55,946.3,947,1156274
05-06-2018 08:45,946.9,949.7,944.75,947.3,994916
05-06-2018 09:45,947.25,948.9,945.5,947.65,422146
06-06-2018 03:45,947,951.45,943.1,951,885891
06-06-2018 04:45,951,953.7,950.65,952.85,792282
06-06-2018 05:45,952.9,954.8,952.2,953.15,524355
06-06-2018 06:45,953.05,955.2,952.15,953.45,571530
06-06-2018 07:45,953.7,954.45,951.95,953,362147
06-06-2018 08:45,952.75,955.7,947.75,955,778880
06-06-2018 09:45,954.85,955.85,953.1,954.4,270321
07-06-2018 03:45,956.7,967.15,956.65,964.6,1712831
07-06-2018 04:45,964.35,967.95,964.2,967.3,818199
07-06-2018 05:45,967.35,969.9,967.3,969.9,874122
07-06-2018 06:45,969.95,974.5,969.95,974.5,1274903
07-06-2018 07:45,974.5,975.75,972.8,974,938539
07-06-2018 08:45,973.65,975.6,970,970.15,852011
07-06-2018 09:45,970.3,973,970,971.35,382842
08-06-2018 03:45,966.3,968,960.6,964.95,796983
08-06-2018 04:45,965,974.7,965,972.55,1071637
08-06-2018 05:45,972.55,973.6,968.55,968.75,546801
08-06-2018 06:45,968.75,973.35,967.3,971.75,656446
08-06-2018 07:45,972.4,974.4,969.7,973.4,849185
08-06-2018 08:45,973.6,986.55,973.6,984.25,2093844
08-06-2018 09:45,984.3,984.45,981.75,984.35,507840
11-06-2018 03:45,987.2,999.3,987.2,994.85,1879090
11-06-2018 04:45,994.2,995.2,992,993.55,644810
11-06-2018 05:45,993.8,995.45,992.55,993.15,696345
11-06-2018 06:45,993.2,994.75,991.2,993.95,608020
11-06-2018 07:45,994.3,997.45,993.05,993.55,825872
11-06-2018 08:45,993.6,993.6,980.05,980.05,1559809
11-06-2018 09:45,979.5,982.65,979.2,982.65,637964
12-06-2018 03:45,984.95,987.9,980.6,984.65,1648851
12-06-2018 04:45,984.65,991.75,984.2,991.15,990908
12-06-2018 05:45,991.25,994.6,990.35,993.65,798616
12-06-2018 06:45,993.7,994.85,986.25,989.3,888537
12-06-2018 07:45,989.35,994.55,989.35,992.9,628564
12-06-2018 08:45,992.95,996.5,991.5,995.8,1637285
12-06-2018 09:45,995.7,1000,995.7,999.25,822616
13-06-2018 03:45,999.85,1003,989.55,994,1262718
13-06-2018 04:45,993.85,996.8,993.25,996.5,554598
13-06-2018 05:45,996.45,998.5,995.6,996.7,663733
13-06-2018 06:45,996.75,999.9,996.35,998.85,522583
13-06-2018 07:45,998.9,1004.45,998,1004,1052854
13-06-2018 08:45,1004,1005.8,999.5,1001.25,1166587
13-06-2018 09:45,1002,1004.8,1000.65,1002,680843
14-06-2018 03:45,998.05,998.8,991,991.8,635808
14-06-2018 04:45,991.7,991.9,988.1,989.3,639060
14-06-2018 05:45,989.35,993.55,989.35,992.15,482419
14-06-2018 06:45,992.2,996.4,991.65,995.35,427544
14-06-2018 07:45,995.35,1009.8,995.25,1008.85,1284900
14-06-2018 08:45,1008.8,1011.75,1006,1006.3,1415601
14-06-2018 09:45,1006.35,1009.25,1006.3,1007,591932
15-06-2018 03:45,1004.3,1021.9,999.8,1020.3,2440693
15-06-2018 04:45,1020.8,1023.5,1017.8,1019.1,924471
15-06-2018 05:45,1019,1021.9,1016.5,1016.8,1055308
15-06-2018 06:45,1016.6,1020.3,1013.05,1014.4,1175298
15-06-2018 07:45,1014.5,1015.4,1011,1012.45,1193932
15-06-2018 08:45,1012.5,1018.7,1010.6,1016.75,2735859
15-06-2018 09:45,1016.45,1017.4,1010.6,1011.85,1757654
18-06-2018 03:45,1007.75,1017.6,1007.75,1013.1,737770
18-06-2018 04:45,1013.1,1018.4,1012.5,1014.35,949482
18-06-2018 05:45,1014.75,1015,1010.2,1011.05,414213
18-06-2018 06:45,1011.05,1015,1010.6,1014.45,562488
18-06-2018 07:45,1014.7,1017.75,1014,1016.55,835036
18-06-2018 08:45,1016.5,1020.25,1014.25,1015.1,1544914
18-06-2018 09:45,1015,1015.55,1013.25,1015.55,597392
19-06-2018 03:45,1013.7,1014.55,1008.2,1014.5,1121095
19-06-2018 04:45,1014,1014.45,1005,1005.3,855225
19-06-2018 05:45,1005.25,1007.8,1002.5,1006.2,704959
19-06-2018 06:45,1006.15,1006.7,996.25,997.85,937835
